Issue Type,Summary,Epic Name,Epic Link,Sprint,Assignee,Labels,Story ID,Owner,Depends On,Acceptance Criteria,Description
Story,Stalled ride alerting,,EP-05 Trip Status Tracking,Sprint 4 (Weeks 7-8),,mvp;trip-tracking;alerts,US-504,FE|BE,US-503,"Stalled ride alerts surface with actionable context","Dispatcher alerted on stalled ride states"
Story,Auto payout record on completion,,EP-08 Payout Tracking,Sprint 5 (Weeks 9-10),,mvp;payouts,US-801,BE,US-501|US-505,"Every completed ride produces one payout record","System creates payout record automatically on completion"
Story,Payout review and approval,,EP-08 Payout Tracking,Sprint 5 (Weeks 9-10),,mvp;payouts;finance,US-802,FIN|BE|FE,US-801,"Finance ops can approve, dispute, and export reconciliation data","Finance ops reviews and approves payout records"
Story,Payout dispute workflow,,EP-08 Payout Tracking,Sprint 5 (Weeks 9-10),,mvp;payouts;finance,US-803,FIN|BE|FE,US-802,"Finance ops can approve, dispute, and export reconciliation data","Finance ops flags dispute and adds notes"
Story,Driver payout visibility,,EP-08 Payout Tracking,Sprint 5 (Weeks 9-10),,mvp;payouts;driver,US-804,FE|BE,US-802|US-803,"Driver payout status is visible and consistent with finance view","Driver sees completed rides and payout status"
Story,Weekly payout reconciliation export,,EP-08 Payout Tracking,Sprint 5 (Weeks 9-10),,mvp;payouts;finance,US-805,FIN|BE,US-802|US-803,"Finance ops can approve, dispute, and export reconciliation data","Admin/finance generates weekly payout reconciliation export"
Story,Finance pending payout panel,,EP-07 Admin Dashboard,Sprint 5 (Weeks 9-10),,mvp;dashboard;finance,US-704,FE|BE|FIN,US-801|US-802,"Reporting and filtering support pilot operating cadence","Finance ops sees completed rides pending payout review"
Story,Daily and weekly operations export,,EP-07 Admin Dashboard,Sprint 5 (Weeks 9-10),,mvp;dashboard;reporting,US-705,FE|BE|FIN,US-701|US-702|US-703,"Reporting and filtering support pilot operating cadence","Admin exports daily/weekly operational summaries"
Story,Dashboard filters by partner/region/date/status,,EP-07 Admin Dashboard,Sprint 5 (Weeks 9-10),,mvp;dashboard;reporting,US-706,FE|BE|FIN,US-701|US-702|US-703,"Reporting and filtering support pilot operating cadence","Admin applies filters across core operational views"
Story,SLA threshold configuration,,EP-04 Ride Assignment,Sprint 5 (Weeks 9-10),,mvp;assignment;config,US-406,BE|FE|SEC,US-403|US-605,"SLA threshold config is active and auditable","Admin configures assignment response SLA thresholds"
Story,Notification delivery audit view,,EP-06 Notifications,Sprint 5 (Weeks 9-10),,mvp;notifications;audit,US-606,BE|FE|SEC,US-601|US-602|US-603|US-604,"Notification delivery status is visible and auditable","Admin reviews delivery status per notification event"
Task,Critical defect burn-down,,,,Sprint 6 (Weeks 11-12),,mvp;launch,TASK-901,BE|FE|QA,US-101..US-606,"Zero open Sev-1 defects and no unresolved blocking defects","Cross-epic hardening and blocker elimination"
Task,Regression and performance sanity tests,,,,Sprint 6 (Weeks 11-12),,mvp;launch;qa,TASK-902,QA,TASK-901,"End-to-end pilot workflow passes with real operational users","Execute regression and performance sanity set"
Task,Pilot partner onboarding run,,,,Sprint 6 (Weeks 11-12),,mvp;launch;ops,TASK-903,OPS|PM,TASK-902,"Incident handling, escalation path, and operating cadence are confirmed","Run partner onboarding process with pilot controls"
Task,Pilot driver cohort activation,,,,Sprint 6 (Weeks 11-12),,mvp;launch;ops,TASK-904,OPS,TASK-903,"End-to-end pilot workflow passes with real operational users","Activate pilot driver cohort and validate readiness"
Task,Launch scorecard sign-off,,,,Sprint 6 (Weeks 11-12),,mvp;launch;governance,TASK-905,PM|OPS|QA|SEC|FIN,TASK-901|TASK-902|TASK-903|TASK-904,"Launch scorecard approved by PM, OPS, QA, and Security owner","Formal launch readiness review and sign-off"
