Epic,Story ID,Story Summary,Sprint,Owner,Depends On,Acceptance Criteria
EP-05,US-502,Provider can see near real-time active ride transitions,Sprint 3 (Weeks 5-6),FE;BE,US-501,"Provider can observe state transitions in near real-time"
EP-05,US-505,Stakeholders can see timestamped event log for rides,Sprint 3 (Weeks 5-6),FE;BE,US-501|US-502,"Exception and ride events are recorded and queryable"
EP-06,US-601,Provider receives notification when request is assigned,Sprint 4 (Weeks 7-8),BE;FE,US-401|US-402,"Critical notifications are sent for assignment en-route and cancellation or exception"
EP-06,US-602,Provider receives notification when driver is en route,Sprint 4 (Weeks 7-8),BE;FE,US-501,"Critical notifications are sent for assignment en-route and cancellation or exception"
EP-06,US-603,Provider receives notification when ride is cancelled or excepted,Sprint 4 (Weeks 7-8),BE;FE,US-404|US-405,"Critical notifications are sent for assignment en-route and cancellation or exception"
EP-06,US-604,Driver receives assignment offer notification with details,Sprint 4 (Weeks 7-8),BE;FE,US-401|US-402,"Critical notifications are sent for assignment en-route and cancellation or exception"
EP-06,US-605,Dispatcher receives escalation alerts for SLA breaches,Sprint 4 (Weeks 7-8),BE;FE,US-403|US-504,"Dispatcher receives SLA breach alerts"
EP-07,US-701,Admin or dispatcher can see live request queue with aging,Sprint 4 (Weeks 7-8),FE;BE,US-205|US-501|US-502,"Admin and dispatcher can manage queue and exception panels from one dashboard"
EP-07,US-702,Admin can view exceptions panel sorted by severity,Sprint 4 (Weeks 7-8),FE;BE,US-405|US-701,"Admin and dispatcher can manage queue and exception panels from one dashboard"
EP-07,US-703,Admin can view driver availability and assignment load,Sprint 4 (Weeks 7-8),FE;BE,US-305|US-701,"Admin and dispatcher can manage queue and exception panels from one dashboard"
EP-05,US-503,Admin can view all active rides and current states on live board,Sprint 4 (Weeks 7-8),FE;BE,US-501|US-502|US-701,"Stalled ride alerts surface with actionable context"
EP-05,US-504,Dispatcher is alerted when ride is stalled beyond threshold,Sprint 4 (Weeks 7-8),FE;BE,US-503,"Stalled ride alerts surface with actionable context"
EP-08,US-801,System auto-creates payout record when ride is completed,Sprint 5 (Weeks 9-10),BE,US-501|US-505,"Every completed ride produces one payout record"
EP-08,US-802,Finance ops can review and approve payout records,Sprint 5 (Weeks 9-10),FIN;BE;FE,US-801,"Finance ops can approve dispute and export reconciliation data"
EP-08,US-803,Finance ops can flag payout dispute and add notes,Sprint 5 (Weeks 9-10),FIN;BE;FE,US-802,"Finance ops can approve dispute and export reconciliation data"
EP-08,US-804,Driver can view completed ride history and payout status,Sprint 5 (Weeks 9-10),FE;BE,US-802|US-803,"Driver payout status is visible and consistent with finance view"
EP-08,US-805,Admin can generate weekly payout reconciliation export,Sprint 5 (Weeks 9-10),FIN;BE,US-802|US-803,"Finance ops can approve dispute and export reconciliation data"
EP-07,US-704,Finance ops can view completed rides pending payout review,Sprint 5 (Weeks 9-10),FE;BE;FIN,US-801|US-802,"Reporting and filtering support pilot operating cadence"
EP-07,US-705,Admin can export daily and weekly operational summaries,Sprint 5 (Weeks 9-10),FE;BE;FIN,US-701|US-702|US-703,"Reporting and filtering support pilot operating cadence"
EP-07,US-706,Admin can filter views by partner region date range and status,Sprint 5 (Weeks 9-10),FE;BE;FIN,US-701|US-702|US-703,"Reporting and filtering support pilot operating cadence"
EP-04,US-406,Admin can configure SLA response thresholds,Sprint 5 (Weeks 9-10),BE;FE;SEC,US-403|US-605,"SLA threshold config is active and auditable"
EP-06,US-606,Admin can view notification delivery status for auditing,Sprint 5 (Weeks 9-10),BE;FE;SEC,US-601|US-602|US-603|US-604,"Notification delivery status is visible and auditable"
Launch,TASK-901,Critical defect burn-down across all MVP epics,Sprint 6 (Weeks 11-12),BE;FE;QA,US-101..US-606,"Zero open Sev-1 defects and no unresolved blocking defects"
Launch,TASK-902,Regression and performance sanity test execution,Sprint 6 (Weeks 11-12),QA,TASK-901,"End-to-end pilot workflow passes with real operational users"
Launch,TASK-903,Pilot partner onboarding runbook execution,Sprint 6 (Weeks 11-12),OPS;PM,TASK-902,"Incident handling escalation path and daily cadence are confirmed"
Launch,TASK-904,Pilot driver cohort activation and readiness check,Sprint 6 (Weeks 11-12),OPS,TASK-903,"End-to-end pilot workflow passes with real operational users"
Launch,TASK-905,Launch scorecard review and sign-off,Sprint 6 (Weeks 11-12),PM;OPS;QA;SEC;FIN,TASK-901|TASK-902|TASK-903|TASK-904,"Launch scorecard approved by PM OPS QA and Security owner"
